Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Rwanda,RWA,162083820.997161
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Samoa,WSM,26867532.323914
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sao Tome and Principe,STP,27924059.1401315
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Saudi Arabia,SAU,3970644084.62136
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Senegal,SEN,409166125.814909
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Serbia,SRB,2343139735.74774
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Seychelles,SYC,105893597.203314
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sierra Leone,SLE,252435829.433901
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Singapore,SGP,69774553124.9431
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sint Maarten (Dutch part),SXM,27770949.7206704
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Slovak Republic,SVK,1520379416.31372
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Slovenia,SVN,1730147099.28225
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Solomon Islands,SLB,32222728.5635439
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,South Africa,ZAF,1521139945.30531
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,South Sudan,SSD,150000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Spain,ESP,23777330434.0906
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sri Lanka,LKA,679655644.244789
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,St. Kitts and Nevis,KNA,128276604.814814
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,St. Lucia,LCA,152240176.107528
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,St. Vincent and the Grenadines,VCT,123879207.964814
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sudan,SDN,1728373403.43067
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Suriname,SUR,183665852.697559
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sweden,SWE,9777569491.28413
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Switzerland,CHE,118752400108.647
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Tajikistan,TJK,454012320
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Tanzania,TZA,1506024896.011
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Thailand,THA,8927579182.16216
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Timor-Leste,TLS,42995500
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Togo,TGO,257860036.464441
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Tonga,TON,14759825.6788605
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Trinidad and Tobago,TTO,176829744.888445
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Tunisia,TUN,970521888.740202
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Turkiye,TUR,19263000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Turkmenistan,TKM,3042968000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Turks and Caicos Islands,TCA,-69888000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Tuvalu,TUV,300000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Uganda,UGA,737652140.151428
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Ukraine,UKR,-198000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,United Arab Emirates,ARE,8550901850
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,United Kingdom,GBR,45333483122.0899
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,United States,USA,511434000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Uruguay,URY,2673041339.41285
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Uzbekistan,UZB,1041199291.09392
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Vanuatu,VUT,31021245.7737035
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Viet Nam,VNM,11800000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,West Bank and Gaza,PSE,104937726.658029
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Zambia,ZMB,1582666666.66666
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Zimbabwe,ZWE,399200000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Africa Eastern and Southern,AFE,28638672651.1813
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Africa Western and Central,AFW,16597546703.8138
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Arab World,ARB,21337111052.2071
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Caribbean small states,CSS,2001766550.25112
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Central Europe and the Baltics,CEB,23462819795.6785
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Early-demographic dividend,EAR,212971944125.772
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,East Asia & Pacific,EAS,617259465100.014
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,East Asia & Pacific (excluding high income),EAP,305948434262.483
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,East Asia & Pacific (IDA & IBRD countries),TEA,305983017420.63
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Euro area,EMU,819680943684.47
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Europe & Central Asia,ECS,1150235155873.94
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Europe & Central Asia (excluding high income),ECA,44225910958.3385
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Europe & Central Asia (IDA & IBRD countries),TEC,73926658348.213
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,European Union,EUU,849890812406.505
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Fragile and conflict affected situations,FCS,21727907126.1278
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Heavily indebted poor countries (HIPC),HPC,29844492523.8333
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,IBRD only,IBD,535344323505.255
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,IDA & IBRD total,IBT,658766502329.586
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,IDA blend,IDB,13352177177.6549
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,IDA only,IDX,36954930724.4332
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,IDA total,IDA,50307107902.0881
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Late-demographic dividend,LTE,692552879695.928
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Latin America & Caribbean,LCN,322295015783.246
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Latin America & Caribbean (excluding high income),LAC,142211729919.1
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Latin America & the Caribbean (IDA & IBRD countries),TLA,174927235521.58
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Least developed countries: UN classification,LDC,38391762482.4404
